object,site,region,type,material,shape,symbol,condition,complete,first_sign,target_position,text
M-1720,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,679,1,+679-740-233-240+
M-1723,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-032-840-033-705-798+
M-1855,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740,0,+740-255+
-:2488.2,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Comp,Fair,Y,001,1,+001-740-923-033-705+
-:2489.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,740,0,+740-390-590-002-817+
M-1667,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-690-435-255-220-032-002-717-820+
M-709,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-100-001-440-742-060-920+
M-1780,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740,0,+740-645-003-741-070-255+
M-1679,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740,0,+740-176-585-000-705-741-460-353+
M-1730,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740,0,+740-460-510-220-065-393+
M-1851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,832,5,+832-390-032/000-032-740-002-820+
M-1785,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,Y,906,2,+906-200/740-100-415-033-702+
M-1514,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,740,0,+740-752+
M-1028,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740,0,+740-798-000[
M-5,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-773-240-235-060-692+
M-7,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,407,3,+407-845-140-740-101-923-240-002-861+
M-12,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-390-590-233-002-368-202-892-371+
M-14,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-776-503-002-817+
M-15,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,090,1,+090-740-176-002-861+
M-18,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,932,1,+932-740-055+
M-21,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,350,2,+350-001-740-362-692-032-002-861+
M-22,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-904-176-220-032-798-000[
M-23,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,842,4,+842-871-192-368/740-482-060-692-520-220-235-001-920+
M-24,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,090,1,+090-740-240-235-002-906-140+
M-26,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,090,1,+090-740-531-060-692+
M-28,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,892,2,+892-374-740-760-840-416-002-861+
M-29,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-055-240-235-806-002-220-455-503+
M-30,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-752-017-503-240-235-806+
M-31,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-269-511-233-060-820+
M-33,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-032-923-382-233-002-112+
M-34,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-336-176-002-405-372-374+
M-35,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-390-590-233-231-002-107+
M-36,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-794-630-220-032-002-368-906-329+
M-38,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-690-435-255-220-032-240-235-002-390-125-632-032+
M-41,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-636-240-233-235-002-405-125-820+
M-43,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-798-231-002-055-373+
M-44,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-760-033-705-803-002-920-317+
M-46,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-798-240-235-002-220-065-215+
M-47,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,0,+740-760-235-002-861+
M-50,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-585-017-033-705-240-798-002-820+
M-51,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-798-460-350-235-741-390-140+
M-52,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-904-032-220-415-235-803-002-504-717+
M-53,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,090,1,+090-740-220-016-002-297-190-920-140+
M-56,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-877-032-235-060-550-611-840+
M-58,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-460-503-002-817+
M-61,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,740,0,+740-000-231-220-455-615-689+
M-66,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-390-590-235-002-374-309-350+
M-67,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,457,1,+457/740-165-900-060-111-575+
M-68,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fine,Y,690,3,+690-518/090-740-176-742-060-920+
M-69,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740,0,+740-803-231-060-692+
M-72,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Poor,Y,740,0,+740-255-705-140-003-002-861+
M-78,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-344-032-545+
M-79,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,688,1,+688/740-100-240-233-002-861+
M-82,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,0,+740-222-002-207-550-390+
M-84,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,0,+740-765-240-001-368-920+
M-89,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-794-734-032-235+
M-90,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-840-013-031-002-817+
M-91,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-100-798-220-032-002-861-255-416+
M-92,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-798-460-350-002-814-084+
M-94,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-390-590-220-003+
M-98,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-585-017-900+
M-99,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-215-002-368-119+
M-100,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,1,+090-740-255-705-002-861+
M-101,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,390,2,+390-503-740-168-002-817+
M-104,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,090,1,+090-740-220-235-853+
M-106,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,N,740,0,+740-760-000-002-000-350+
M-107,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-565-233-002-940-260+
M-109,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-879-220-415-002-287-140+
M-111,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-920-320-233-001-821+
M-112,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-760-220-016-382-741-572-684+
M-113,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-032-840-741-060-920+
M-114,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-760-440-002-297-416+
M-116,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,740,0,+740-100-176-840-013-002-817+
M-118,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-772-033-705-233-803-002-861+
M-120,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,858,1,+858/740-100-585-741-840-346+
M-121,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-900-790-233-798+
M-124,Mohenjo-daro,Lower Indus,SEAL:S,Clay,square,Bull1:W,Fair,Y,740,0,+740-923-220-032+
M-127,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,565,1,+565-740-220-741-176+
M-128,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-923-803-741-500-705+
M-130,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-094-220-032-002-144+
M-131,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-390-590-741-390-790+
M-136,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,1,+090-740-220-016-031-908-545+
M-140,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:S,Good,Y,740,0,+740-336-002-220-065-440-455+
M-143,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-205-032-002-252-840+
M-144,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-100-415-240-002-817+
M-145,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,740,0,+740-400-142-880+
M-146,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740,0,+740-255-920-060-692+
M-148,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-817-556+
M-149,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-760-440-060-550+
M-150,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-832+
M-152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-772-002-861+
M-155,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-176-031+
M-157,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-900-790-233-798-001-820+
M-159,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-048-741-250-579+
M-162,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Good,Y,740,0,+740-760-840-552-003+
M-164,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Fair,Y,740,0,+740-142-061-002-817+
M-169,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,N,740,0,+740-575-017-000-000-031-032+
M-170,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740,0,+740-923-406-061-070-032-741-861+
M-171,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,407,2,+407-061-740-923-233-806-060-692+
M-173,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740,0,+740-388-900-320-806+
M-174,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,Poor,Y,740,0,+740-923-220-032-002-820+
M-180,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-621+
M-184,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,090,1,+090-740-101-853+
M-189,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,436,1,+436-740-176+
M-194,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,090,1,+090-740-900-005+
M-198,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-760-840-552-002-817+
M-199,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,090,1,+090-740-100-415-240-002-861+
M-200,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-222-002-820+
M-203,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-390-590-741-081-220+
M-823,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740,0,+740-061-002-817+
M-209,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,151,1,+151-740-231+
M-211,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,090,1,+090-740-100-220-002-031-165+
M-212,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,413,2,+413-033/740-388+
M-213,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-384-002-390-346+
M-217,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,740,0,+740-877-032-233+
M-221,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Poor,Y,740,0,+740-760-335-220-032-002-820+
M-223,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-705+
M-226,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-365-278-061+
M-230,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,090,1,+090-740-176-233+
M-231,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,400,1,+400-740-100-415+
M-234,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,842,4,+842-535-099-004/740-482-060-692-520-220-235-001-920+
M-237,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Poor,N,565,1,+565-740-626-220-016-000[
M-238,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-803-233+
M-239,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-760-921-235-002-112+
M-241,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,090,1,+090-740-032-840-741-572-683+
M-242,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-721-002-301-350+
M-245,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-760-070-921-460-503-002-817+
M-246,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,740,0,+740-503-235-233-002-817+
M-248,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-100-415-002-705-590+
M-249,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,140,2,+140-165-740-176-220-803+
M-255,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740,0,+740-879-233+
M-257,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,600,1,+600-740-060-920+
M-260,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Zebu,Good,Y,090,1,+090-740-220-014-002-820+
M-261,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fair,Y,740,0,+740-061-001-694+
M-263,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,090,1,+090-740-400-350-031-545+
M-388,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-519+
M-266,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,565,1,+565-740-798-235-233-013-269-632+
M-267,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,740,0,+740-630-155-002-679+
M-269,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Good,Y,740,0,+740-615-495+
M-274,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,740,0,+740-760-264-231-742-315-032+
M-275,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,090,1,+090-740-760-717-853+
M-277,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,N,740,0,+740-803-220-368-000+
M-280,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,Y,740,0,+740-482-240-002-944-920-140+
M-281,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,Y,740,0,+740-460-510-250-853+
M-284,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,N,740,0,+740-760-335-000[
M-286,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,Y,740,0,+740-255-705+
M-288,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,820,2,+820/090-740-176-741-065-123+
M-289,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fine,Y,740,0,+740-176-240-002-817+
M-291,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Othr,Fair,Y,740,0,+740-890-692+
M-1443,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,740,0,+740-220-003+
M-295,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Comp,Poor,?,621,2,+621/090-740/002-861+
M-297,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Othr,Good,Y,090,1,+090-740-240-575-703-060+
M-300,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,CompBull,Good,Y,740,0,+740-390-590-001/060-820+
M-304,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Scene,Good,Y,090,1,+090-740-220-742-534-550-090+
M-306,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-M-T,Fair,Y,621,1,+621-740-798-838-741-092-850+
M-307,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-M-T,Fair,Y,740,0,+740-904-032-060-550+
M-309,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-A-T,Good,Y,224,1,+224-740-061-002-824+
M-310,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-A-T,Fair,Y,621,1,+621/740-482-001-550+
M-314,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Good,Y,953,7,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
M-319,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,740,0,+740-812-033-240-220-032+
M-320,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,0,+740-176-741-390-125+
M-322,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740,0,+740-061-060-820+
M-326,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740,0,+740-904-235-741-060-920+
M-327,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740,0,+740-519-002-861+
M-354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-729-407-845-236-002-906-125+
M-355,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-357,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-100-806-472-240-806-001-820+
M-359,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-405-590-220-235-803-002-388-385-705-632+
M-360,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,090,1,+090-740-717-770-235+
M-362,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-007-503-002-817+
M-363,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-100-415-745-060-920+
M-364,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-354-002-817+
M-369,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-690-435-255-240-220-415-806-742-060-920+
M-370,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,832,2,+832-904-740-444-388-233-798-806+
M-372,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-338-605-176-001-820+
M-374,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-900-003-615-503+
M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-100-233-220-032-002-820+
M-376,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,740,0,+740-100-176-002-861-533-717+
M-377,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,740,0,+740-690-435-255-240-235+
M-378,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,407,4,+407-005-001-746-740-590+
M-380,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,137,3,+137-003-001-740-920-322+
M-381,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-055-220-032-798-002-820+
M-384,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-900-003-803-002-820+
M-389,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-861-383-031+
M-391,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,405,3,+405-845-686-740-793-003-233-805-002-861-533-717+
M-392,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-405-590-220-032-806+
M-393,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,679,1,+679-740-575-017-240-806-002-540+
M-394,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-752-001-033-706+
M-397,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-752-055-233+
M-398,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-920-323+
M-399,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740,0,+740-055-033-706-235+
M-405,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740,0,+740-923-240-235-806+
M-407,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,740,0,+740-923-235-742-380+
M-409,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,045,1,+045-740-806+
M-1382,Mohenjo-daro,Lower Indus,POT:T:s,Clay,square,NA,Fair,Y,740,0,+740-792+
M-427,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,Poor,Y,740,0,+740-100-415-741-060-920+
M-428,Mohenjo-daro,Lower Indus,TAB:B,Clay,circular,Bull1,Poor,N,090,1,+090-740-176-000-000+
M-432,Mohenjo-daro,Lower Indus,TAB:B,Paste,circular,NA,Poor,Y,740,0,+740-390-590-033-705+
M-437,Mohenjo-daro,Lower Indus,TAG:P,Clay,square,Zebu,Fair,Y,740,0,+740-390-590-002-820+
M-445,Mohenjo-daro,Lower Indus,TAB:B,Paste,rectangular,Bull1,Good,Y,740,0,+740-176-235+
M-453,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Scene,Fair,Y,740,0,+740-032-840-220-002-861+
M-454,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,Scene,Poor,N,740,0,+740-032-840-240-002-000+
-:2942.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:U,Fair,Y,621,1,+621-740-514+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,740,0,+740-100-415-191-002-817+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,400,1,+400-740-904-798-460-350+
M-473,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,NA,Poor,Y,740,0,+740-100-220+
M-481,Mohenjo-daro,Lower Indus,TAB:B,Clay,cylindrical,Anth,Poor,Y,103,1,+103-740-803-060-540+
M-482,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular,Mult,Fair,Y,400,1,+400-740-803+
M-483,Mohenjo-daro,Lower Indus,TAB:B,Clay,elliptical,T,Poor,N,000,1,+000-740-585-832-000+
M-484,Mohenjo-daro,Lower Indus,TAB:B,Clay,elliptical,NA,Poor,N,000,1,+000-740-585-000-240+
M-486,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,Mult,Poor,Y,090,1,+090-740-615+
M-492,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,Mult,Poor,Y,090,1,+090-740-585-803-240+
