"acquisition_rank","primary_bucket","source_route","evidence_grade_now","cisi","packet_rank_min","packet_row_count","packet_rows","packet_labels","subtypes","short_texts","side_relations","context_classes","longer_texts","long_token_sets","sequence_family_keys","sequence_family_count_max_no_h","metadata_row_count","metadata_rows","excavation_ids","figure_refs","area_sections","room_grids","period_phase","depth","material","shape_cross_section","condition_preservation","dimensions_mm","local_rows_to_reconcile","public_lead_statuses","source_request","preserves_034_residue_if","kills_or_downgrades_if","source_check_status"
"83","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1853","139","1","386.1","032_control","032","386.1:+700-032+","short_before_all_longer","single_longer_text","+400-617-829+","400;617;829","1:+700-032+|2:+400-617-829+","1","2","386.1;386.2","H2000-4395","Figure 39.01","ETrench 54","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","20.5 x 10.5 x 2.5","386.1:+700-032+;386.2:+400-617-829+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1853. Metadata source hooks: H2000-4395; Figure 39.01. Packet rows to verify: 386.1 +700-032+. All local rows to reconcile: 386.1 +700-032+; 386.2 +400-617-829+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"84","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2183","140","1","749.1","032_control","032","749.1:+700-032+","short_before_all_longer","single_longer_text","+400-740-575-017-798+","017;400;575;740;798","1:+700-032+|2:+400-740-575-017-798+","1","2","749.1;749.2","H96-2776","Figure 17.12","FTrench 37","--","Period 3C/C","- -","Steatite","rectangular-round/rectangular","Poor/complete","18.8 x 10.4 x 2.2","749.1:+700-032+;749.2:+400-740-575-017-798+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2183. Metadata source hooks: H96-2776; Figure 17.12. Packet rows to verify: 749.1 +700-032+. All local rows to reconcile: 749.1 +700-032+; 749.2 +400-740-575-017-798+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"85","D_032_control","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2184","141","1","490.1","032_control","032","490.1:+700-032+","short_before_all_longer","single_longer_text","+400-740-032-015+","015;032;400;740","1:+700-032+|2:+400-740-032-015+","1","2","490.1;490.2","H2001-5200","Figure 47.01","ETrench 11","--","Period 3C/C","- -","Steatite","rectangular-round/rectangular","Fair/complete","19 x 10 x 3","490.1:+700-032+;490.2:+400-740-032-015+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2184. Metadata source hooks: H2001-5200; Figure 47.01. Packet rows to verify: 490.1 +700-032+. All local rows to reconcile: 490.1 +700-032+; 490.2 +400-740-032-015+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","032 controls stay visually distinct and occupy a different source-validated object/context bucket.","032 behaves like 034 after source validation or dimensions/context are metadata artifacts.","source_acquisition_only_source_images_not_validated"
"86","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1844","22","1","780.1","positive_034_residue_candidate","034","780.1:+700-034+","short_before_all_longer","single_longer_text","+400-154-690+","154;400;690","1:+700-034+|2:+400-154-690+","1","2","780.1;780.2","H96-3106","Figure 21.06","ETrench 11","--","Period 3B/B","- -","Faience","rectangular/rectangular","Good/complete","12.6 x 7.5 x 3","780.1:+700-034+;780.2:+400-154-690+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1844. Metadata source hooks: H96-3106; Figure 21.06. Packet rows to verify: 780.1 +700-034+. All local rows to reconcile: 780.1 +700-034+; 780.2 +400-154-690+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"87","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1943","23","1","422.1","positive_034_residue_candidate","034","422.1:+700-034+","short_before_all_longer","single_longer_text","+740-384-031+","031;384;740","1:+700-034+|2:+740-384-031+","1","2","422.1;422.2","H2000-4482","Figure 42.10","ETrench 54","--","Period 3B/C/B/C","- -","Faience","prism/triangular","Good/complete","12.8 x 6.6 x 0","422.1:+700-034+;422.2:+740-384-031+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1943. Metadata source hooks: H2000-4482; Figure 42.10. Packet rows to verify: 422.1 +700-034+. All local rows to reconcile: 422.1 +700-034+; 422.2 +740-384-031+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"88","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-946","24","1","1826.1","positive_034_residue_candidate","034","1826.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+400-234+","1","2","1826.1;1826.2","2544501","","FTrench I","-M11/11","Period 3B/C/Stratum VI","-16.0 ft","Steatite","rectangular/rectangular","Fair/complete","13.2 x 6.4 x 0","1826.1:+700-034+;1826.2:+400-234+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-946. Metadata source hooks: 2544501. Packet rows to verify: 1826.1 +700-034+. All local rows to reconcile: 1826.1 +700-034+; 1826.2 +400-234+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"89","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1860","25","1","637.1","positive_034_residue_candidate","034","637.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+400-097+","1","2","637.1;637.2","H95-2422","Figure 28.09","ETrench 10W/11","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","13.5 x 8 x 4","637.1:+700-034+;637.2:+400-097+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1860. Metadata source hooks: H95-2422; Figure 28.09. Packet rows to verify: 637.1 +700-034+. All local rows to reconcile: 637.1 +700-034+; 637.2 +400-097+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"90","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2102","26","1","1018.1","positive_034_residue_candidate","034","1018.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+137-413+","1","2","1018.1;1018.2","H99-3960","Figure 34.04","ETrench 11W","--","Period 3C/C","- -","Steatite","rectangular/rectangular","Good/complete","13.6 x 7.5 x 2.5","1018.1:+700-034+;1018.2:+137-413+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2102. Metadata source hooks: H99-3960; Figure 34.04. Packet rows to verify: 1018.1 +700-034+. All local rows to reconcile: 1018.1 +700-034+; 1018.2 +137-413+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"91","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2130","27","1","823.1","positive_034_residue_candidate","034","823.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+365-900+","1","2","823.1;823.2","H96-2709","Figure 17.02","FTrench 37","--","Period 3C/C","- -","Steatite","rectangular/rectangular","Fair/complete","14.2 x 8.4 x 2.8","823.1:+700-034+;823.2:+365-900+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2130. Metadata source hooks: H96-2709; Figure 17.02. Packet rows to verify: 823.1 +700-034+. All local rows to reconcile: 823.1 +700-034+; 823.2 +365-900+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"92","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-215","42","1","1246.1","positive_034_residue_candidate","034","1246.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+400-137+","1","2","1246.1;1246.2","13155","","--","--","-/-","- -","","rectangular/-","Good/complete","18 x 9 x 0","1246.1:+700-034+;1246.2:+400-137+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-215. Metadata source hooks: 13155. Packet rows to verify: 1246.1 +700-034+. All local rows to reconcile: 1246.1 +700-034+; 1246.2 +400-137+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"93","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1870","52","1","901.1","positive_034_residue_candidate","034","901.1:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+158-221+","1","2","901.1;901.2","H97-3380","Figure 14.16","ETrench 11","--","Period 3/-","- -","Faience","rectangular/rectangular","Fair/complete","16 x 9 x 3.7","901.1:+700-034+;901.2:+158-221+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1870. Metadata source hooks: H97-3380; Figure 14.16. Packet rows to verify: 901.1 +700-034+. All local rows to reconcile: 901.1 +700-034+; 901.2 +158-221+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"94","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-939","53","1","1819.1","positive_034_residue_candidate","034","1819.1:+700-034+","short_before_all_longer","single_longer_text","+520-220-415+","220;415;520","1:+700-034+|2:+520-220-415+","1","2","1819.1;1819.2","J402","","D-","-Q31/18","-/Stratum IV","-5.33 ft","Steatite","rectangular/rectangular","Poor/complete","15.2 x 7.6 x 0","1819.1:+700-034+;1819.2:+520-220-415+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-939. Metadata source hooks: J402. Packet rows to verify: 1819.1 +700-034+. All local rows to reconcile: 1819.1 +700-034+; 1819.2 +520-220-415+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"95","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-985","54","1","1861.1","positive_034_residue_candidate","034","1861.1:+700-034+","short_before_all_longer","single_longer_text","+156-435-255+","156;255;435","1:+700-034+|2:+156-435-255+","1","2","1861.1;1861.2","2528","","FTrench III","-N9/10","Period 3B/C/Stratum VI","-17.83 ft","","prism/triangular","Poor/slightly chipped","15.2 x 6.4 x 0","1861.1:+700-034+;1861.2:+156-435-255+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-985. Metadata source hooks: 2528. Packet rows to verify: 1861.1 +700-034+. All local rows to reconcile: 1861.1 +700-034+; 1861.2 +156-435-255+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"96","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1817","55","1","624.1","positive_034_residue_candidate","034","624.1:+700-034+","short_before_all_longer","single_longer_text","+400-525-554+","400;525;554","1:+700-034+|2:+400-525-554+","1","2","624.1;624.2","H94-2326","Figure 26.06","ETrench 10W/11","--","Period 3/-","- -","Faience","rectangular/rectangular","Good/complete","13.5 x 8 x 3.3","624.1:+700-034+;624.2:+400-525-554+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1817. Metadata source hooks: H94-2326; Figure 26.06. Packet rows to verify: 624.1 +700-034+. All local rows to reconcile: 624.1 +700-034+; 624.2 +400-525-554+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"97","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1823","56","1","649.1","positive_034_residue_candidate","034","649.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-798-365-415-001+","001;365;400;415;740;798","1:+700-034+|2:+400-740-798-365-415-001+","1","2","649.1;649.2","H95-2438","Figure 28.14","ETrench 10W/11","--","Period 3B/B?","- -","Faience","rectangular/rectangular","Fair/complete","13.5 x 7.5 x 3.2","649.1:+700-034+;649.2:+400-740-798-365-415-001+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1823. Metadata source hooks: H95-2438; Figure 28.14. Packet rows to verify: 649.1 +700-034+. All local rows to reconcile: 649.1 +700-034+; 649.2 +400-740-798-365-415-001+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"98","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1824","57","1","646.1","positive_034_residue_candidate","034","646.1:+700-034+","short_before_all_longer","single_longer_text","+740-176-031-060-201+","031;060;176;201;740","1:+700-034+|2:+740-176-031-060-201+","1","2","646.1;646.2","H95-2434","Figure 26.10","ETrench 10W/11","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","15.7 x 7.3 x 4.3","646.1:+700-034+;646.2:+740-176-031-060-201+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1824. Metadata source hooks: H95-2434; Figure 26.10. Packet rows to verify: 646.1 +700-034+. All local rows to reconcile: 646.1 +700-034+; 646.2 +740-176-031-060-201+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"99","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1825","58","1","467.1","positive_034_residue_candidate","034","467.1:+700-034+","short_before_all_longer","single_longer_text","+740-176-220+","176;220;740","1:+700-034+|2:+740-176-220+","1","2","467.1;467.2","H2001-5082","Figure 44.06","ETrench 54","--","Period 3B/B","- -","Faience","rectangular/rectangular","Good/complete","14 x 7.7 x 2.5","467.1:+700-034+;467.2:+740-176-220+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1825. Metadata source hooks: H2001-5082; Figure 44.06. Packet rows to verify: 467.1 +700-034+. All local rows to reconcile: 467.1 +700-034+; 467.2 +740-176-220+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"100","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1871","59","1","784.1","positive_034_residue_candidate","034","784.1:+700-034+","short_before_all_longer","single_longer_text","+151-740-235+","151;235;740","1:+700-034+|2:+151-740-235+","1","2","784.1;784.2","H96-3110","Figure 21.04","ETrench 11","--","Period 3B/C/B/C","- -","Faience","rectangular/-","Fair/complete","13 x 7.2 x 0","784.1:+700-034+;784.2:+151-740-235+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1871. Metadata source hooks: H96-3110; Figure 21.04. Packet rows to verify: 784.1 +700-034+. All local rows to reconcile: 784.1 +700-034+; 784.2 +151-740-235+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"101","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1894","60","1","382.1","positive_034_residue_candidate","034","382.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-061-140+","061;140;400;740","1:+700-034+|2:+400-740-061-140+","1","2","382.1;382.2","H2000-4391","Figure 37.09","E-","--","Period 3B/C/B/C","- -","Faience","rectangular/twisted rectangular","Poor/complete","14.4 x 7 x 2.7","382.1:+700-034+;382.2:+400-740-061-140+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1894. Metadata source hooks: H2000-4391; Figure 37.09. Packet rows to verify: 382.1 +700-034+. All local rows to reconcile: 382.1 +700-034+; 382.2 +400-740-061-140+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"102","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1895","61","1","406.1","positive_034_residue_candidate","034","406.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-100-240+","100;240;400;740","1:+700-034+|2:+400-740-100-240+","1","2","406.1;406.2","H2000-4457","Figure 39.03","ETrench 54","--","Period 3B/C/B/C","- -","Faience","oval/rectangular","Fair/complete","13.5 x 8.8 x 2","406.1:+700-034+;406.2:+400-740-100-240+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1895. Metadata source hooks: H2000-4457; Figure 39.03. Packet rows to verify: 406.1 +700-034+. All local rows to reconcile: 406.1 +700-034+; 406.2 +400-740-100-240+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"103","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2070","62","1","862.1","positive_034_residue_candidate","034","862.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-817-276+","276;400;740;817","1:+700-034+|2:+400-740-817-276+","1","2","862.1;862.2","H97-3324","Figure 16.19","ETrench 11","--","Period 3/-","- -","Steatite","rectangular/rectangular","Fair/complete","13.2 x 8 x 2.4","862.1:+700-034+;862.2:+400-740-817-276+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2070. Metadata source hooks: H97-3324; Figure 16.19. Packet rows to verify: 862.1 +700-034+. All local rows to reconcile: 862.1 +700-034+; 862.2 +400-740-817-276+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"104","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2137","63","1","3932.1","positive_034_residue_candidate","034","3932.1:+700-034+","short_before_all_longer","single_longer_text","+740-100-176+","100;176;740","1:+700-034+|2:+740-100-176+","1","2","3932.1;3932.2","H95-2480","Figure 30.09","ETrench 10W/11","--","Period 3B/C/B/C","- -","Steatite","rectangular/rectangular","Fair/complete","13 x 8 x 2.5","3932.1:+700-034+;3932.2:+740-100-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2137. Metadata source hooks: H95-2480; Figure 30.09. Packet rows to verify: 3932.1 +700-034+. All local rows to reconcile: 3932.1 +700-034+; 3932.2 +740-100-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"105","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2143","64","1","752.1","positive_034_residue_candidate","034","752.1:+700-034+","short_before_all_longer","single_longer_text","+090-740-792+","090;740;792","1:+700-034+|2:+090-740-792+","1","2","752.1;752.2","H96-2780","","--","--","Period 3B/B","- -","","rectangular/-","Good/complete","13.5 x 6.5 x 0","752.1:+700-034+;752.2:+090-740-792+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2143. Metadata source hooks: H96-2780. Packet rows to verify: 752.1 +700-034+. All local rows to reconcile: 752.1 +700-034+; 752.2 +090-740-792+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"106","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2246","65","1","484.1","positive_034_residue_candidate","034","484.1:+700-034+","short_before_all_longer","multiple_longer_texts","+740-760-840-799+|+824-032-578-415+","032;415;578;740;760;799;824;840","1:+700-034+|2:+824-032-578-415+|3:+740-760-840-799+","1","3","484.1;484.2;484.3","H2001-5145","Figure 47.05","ETrench 11","--","Period 3C/C","- -","Steatite","rectangular/rectangular","Fair/complete","14.5 x 5.5 x 3.1","484.1:+700-034+;484.2:+824-032-578-415+;484.3:+740-760-840-799+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2246. Metadata source hooks: H2001-5145; Figure 47.05. Packet rows to verify: 484.1 +700-034+. All local rows to reconcile: 484.1 +700-034+; 484.2 +824-032-578-415+; 484.3 +740-760-840-799+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"107","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-819","66","1","1708.2","duplicate_family_risk;positive_034_residue_candidate","034","1708.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+520-240+|2:+700-034+","2","2","1708.1;1708.2","12955","","--","--","-/-","- -","","heart/-","Fair/complete","0 x 0 x 0","1708.1:+520-240+;1708.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-819. Metadata source hooks: 12955. Packet rows to verify: 1708.2 +700-034+. All local rows to reconcile: 1708.1 +520-240+; 1708.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"108","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1868","74","1","509.1","duplicate_family_risk;positive_034_residue_candidate","034","509.1:+700-034+","short_before_all_longer","single_longer_text","+151-740-222+","151;222;740","1:+700-034+|2:+151-740-222+","2","2","509.1;509.2","H90-1596","Figure 13.46 (j)","EC","3-","Period 3B/B","- -","Faience","rectangular/-","Fair/complete","15.5 x 7 x 0","509.1:+700-034+;509.2:+151-740-222+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1868. Metadata source hooks: H90-1596; Figure 13.46 (j). Packet rows to verify: 509.1 +700-034+. All local rows to reconcile: 509.1 +700-034+; 509.2 +151-740-222+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"109","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1869","75","1","508.1","duplicate_family_risk;positive_034_residue_candidate","034","508.1:+700-034+","short_before_all_longer","single_longer_text","+151-740-222+","151;222;740","1:+700-034+|2:+151-740-222+","2","2","508.1;508.2","H90-1595","Figure 13.46 (i)","EC","3-","Period 3B/B","- -","Faience","rectangular/-","Fair/complete","15.5 x 7 x 0","508.1:+700-034+;508.2:+151-740-222+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1869. Metadata source hooks: H90-1595; Figure 13.46 (i). Packet rows to verify: 508.1 +700-034+. All local rows to reconcile: 508.1 +700-034+; 508.2 +151-740-222+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"110","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2140","76","1","418.1","duplicate_family_risk;positive_034_residue_candidate","034","418.1:+700-034+","short_before_all_longer","single_longer_text","+565-740-176-231+","176;231;565;740","1:+700-034+|2:+565-740-176-231+","2","2","418.1;418.2","H2000-4475","Figure 42.01","ETrench 54","--","Period 3B/C/B/C","- -","Steatite","rectangular/rectangular","Good/complete","14 x 8 x 2.5","418.1:+700-034+;418.2:+565-740-176-231+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2140. Metadata source hooks: H2000-4475; Figure 42.01. Packet rows to verify: 418.1 +700-034+. All local rows to reconcile: 418.1 +700-034+; 418.2 +565-740-176-231+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"111","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2141","77","1","397.1","duplicate_family_risk;positive_034_residue_candidate","034","397.1:+700-034+","short_before_all_longer","single_longer_text","+565-740-176-231+","176;231;565;740","1:+700-034+|2:+565-740-176-231+","2","2","397.1;397.2","H2000-4433","Figure 38.01","ETrench 54","--","Period 3B/C/B/C","- -","Steatite","rectangular/rectangular","Fair/complete","14 x 7.8 x 2.8","397.1:+700-034+;397.2:+565-740-176-231+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2141. Metadata source hooks: H2000-4433; Figure 38.01. Packet rows to verify: 397.1 +700-034+. All local rows to reconcile: 397.1 +700-034+; 397.2 +565-740-176-231+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
