object,site,region,type,material,shape,symbol,condition,complete,constraint_statuses,text
M-781,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,002_before_861:pass,+520-033-706-002-861+
M-783,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,002_before_861:pass,+151-061-002-861+
M-785,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-255-705-002-861+
M-788,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,740_before_002:pass,+740-482-235-002-824+
M-792,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+679-740-575-017-002-817+
M-793,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-388-235-240-798-002-861+
M-794,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,002_before_861:pass,+804-231-002-861+
M-795,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,002_before_817:pass,+156-260-002-817+
M-813,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Good,Y,002_before_861:pass,+161-390-590-002-861+
M-815,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Good,Y,002_before_861:pass,+520-070-233-798-002-861+
M-816,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-690-435-255-002-817+
M-819,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,002_before_817:pass,+520-233-240-803-002-817+
M-833,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+527-550-740-240-002-808+
M-834,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:J,Good,Y,002_before_861:pass,+151-390-590-900-002-861+
M-835,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740_before_002:pass;740_before_817:pass;002_before_817:pass,+090-740-035-171-000-002-817+
M-839,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-415-002-817+
M-869,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-100-415-002-861+
M-851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+621-740-390-590-002-817+
M-853,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+090-740-792-002-817+
M-855,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,002_before_861:fail;002_before_817:pass,+861-260-832-390-590-002-817-690-544+
M-865,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_820:pass,+090-740-240-235-001-820+
M-866,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,N,740_before_002:pass,+740-482-233-002-000+
M-868,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Fair,Y,002_before_817:pass,+520-033-705-231-220-002-817+
M-880,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Good,Y,740_before_861:pass,+740-861-877-741-705-319+
M-889,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-384-032-803-002-820+
M-897,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,002_before_817:pass,+527-550-235-002-817+
M-900,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-390-590-233-220-415-798-838-002-820+
M-901,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,002_before_861:pass,+090-125-002-861+
M-902,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,NA,Poor,N,740_before_002:pass,+740-798-002-000-090+
M-903,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-772-002-817+
M-918,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,002_before_861:pass,+390-869-002-861+
M-924,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,N,002_before_817:pass,+000-772-002-817+
M-934,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,002_before_861:pass,+526-555-235-002-861+
M-937,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass,+740-460-503-031-002-900-615+
-:3335.1,Unknown,Other,SEAL:S,NA,square,Bull1:J,Good,Y,740_before_002:pass,+740-205-032-002-390-590-032+
M-941,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,N,002_before_861:pass,+000-642-240-031-002-861+
M-944,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_817:pass,+090-740-233-060-368-817+
M-947,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,400_before_740:pass,+400-090-740-035-171-061+
M-957,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass,+740-760-705-002-577+
M-958,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-772-240-002-900-003-590+
M-979,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:J,Good,Y,740_before_002:pass,+740-773-240/002-900-003-590+
M-982,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,740_before_002:pass,+740-825-002+
M-1002,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,740_before_002:pass,+740-373-031-002-315-850+
M-1027,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,NA,Poor,N,740_before_002:pass,+740-176-220-415-002-435-000[
M-1044,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull,Poor,Y,002_before_861:pass,+520-220-032-002-861+
M-1045,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-100-415-070-032-002-820-000+
M-1085,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-415-798-460-350-002-817+
M-1088,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-540-002-820+
M-1104,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,740_before_820:pass,+740-564-060-820+
M-1107,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,N,740_before_002:pass,+565-740-240-103-002-000+
M-1109,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,002_before_820:pass,+520-231-002-820+
M-1110,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-615-104-002-817+
M-1112,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fair,Y,740_before_002:pass,+740-585-220/002-130-035-171+
M-1114,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,740_before_002:pass,+740-140-002-741-060-920+
M-1115,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-335-233-002-861+
M-1119,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-803-002-820-741+
M-1126,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Poor,N,002_before_820:fail;002_before_817:pass,+820/000-000-031-002-817+
M-1127,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,740_before_002:pass,+060-692/740-269-140-002+
M-1133,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,N,400_before_740:fail,+463-513-740-400-142-000+
M-1135,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,400_before_740:fail;400_before_002:fail;740_before_002:pass,+740-061-002-400-703+
M-1136,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Rhin,Poor,?,740_before_002:pass;740_before_820:pass;002_before_820:pass,]740-717-240-002-820+
M-1137,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-904-002-820+
M-1138,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-585-017-002-820+
M-1139,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-416-621-002-820+
M-1148,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,002_before_861:pass,+520-220-002-861+
M-1152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-032-840-235-002-861+
M-1155,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,740_before_002:pass,+740-760-335-002-033-705+
M-1160,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,N,002_before_861:pass,+000-136-031-002-861+
M-1161,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,002_before_861:pass,+520-233-031-002-861+
M-1166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-923-240-002-817+
M-1177,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,CompBull,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-002-817+
M-1178,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,NA,Poor,N,002_before_820:pass,+002-820-906-000[
M-1189,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,002_before_861:fail,]861-892-692/000-220-002-824[
M-1206,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-690-435-255-002-861+
M-1224,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Good,Y,400_before_740:pass,+400-090-740-032-840+
M-1226,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,002_before_817:pass,+520-033-705-235-233-002-817+
M-1263,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,740_before_002:pass,+000-740-000-520-480-002-570+
M-1264,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_820:pass,+740-100-456-001-820+
M-1267,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+416-001-740-720-175-002-861+
M-1268,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-455-176-002-817+
M-1273,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-055-002-861-603+
M-1284,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,806_before_002:pass,+416-001-520-240-806-002-502-031+
M-1297,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,806_before_002:pass,]806-002-824+
M-1299,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,002_before_817:pass,+527-550-033-705-233-002-817+
M-1306,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass;806_before_002:pass,+740-405-590-806-002-820+
M-1311,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,400_before_002:pass;002_before_817:pass,+520-400-354-002-817+
M-1318,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,740_before_002:pass,+740-460-503-002-880+
M-1319,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,806_before_002:pass,]798-806-002-904-346+
M-1343,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-390-590-235-002-861+
M-1346,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,740_before_002:pass;740_before_861:pass;740_before_820:pass;002_before_861:fail;002_before_820:pass,+740-861-032-233-803-002-820+
M-1354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Poor,N,002_before_820:pass,]000-002-820+
M-1369,Mohenjo-daro,Lower Indus,SEAL:C,Steatite,circular,NA,Poor,N,002_before_820:pass,]000-055-592-140-832-002-060-820[
M-1385,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-032-002-817+
M-1391,Mohenjo-daro,Lower Indus,TAG:O,Clay,square,Bull1,Poor,N,002_before_817:pass,+000-000-000-798-002-817-032-320+
M-1400,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular-rounded,Mult,Poor,N,740_before_002:pass,+871-000-740-368-002+
M-1402,Mohenjo-daro,Lower Indus,TAB:B,Terracotta,cuboid,Mult,Poor,N,400_before_740:pass,+000-388-400-740-000-617+
M-1408,Mohenjo-daro,Lower Indus,TAB:B,Clay,cuboid,NA,Poor,Y,400_before_740:pass,+400-740-033-503+
M-1420,Mohenjo-daro,Lower Indus,TAB:B,Faience,NA,NA,Poor,?,002_before_817:pass,]838-002-817+
M-1426,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,NA,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-760-036-220-415-798-002-861+
M-1438,Mohenjo-daro,Lower Indus,SEAL:R,NA,semi-circular,NA,Poor,Y,400_before_740:pass,+400-740-923-226-032+
-:3769.1,Ganweriwala,Inter-Riverine,TAG,Terracotta,twisted rectangular-rounded,NA,Poor,Y,400_before_740:fail,+740-400-061-299-350-125-176+
M-1650,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Fair,N,400_before_740:pass,+400-740-760-032-033-000-550+
M-1658,Mohenjo-daro,Lower Indus,MISC,NA,NA,NA,Poor,N,002_before_861:pass,+000-016-002-861+
Ns-5,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+090-740-220-016-002-820+
Ns-9,Nausharo,Lower Indus,SEAL:S,Steatite,square,Comp,Poor,Y,740_before_002:pass,+740-142-067/002-374-310-350-495-834+
Nd-1,Nindowari-damb,Iranian Plateau,SEAL:S,NA,square,Bull1:S,Good,Y,740_before_817:fail,+817-220-632-066-740-760-026-060-257+
Sktd-1,Surkotada,Gujarat/Kutch,SEAL:S,NA,square,Bull1,Poor,Y,002_before_820:pass,+390-004-002-390-125-820+
-:3890.1,Unknown,Other,SEAL:S,NA,square,Bull1:W,Poor,Y,740_before_820:pass,+740-585-231-240-060-820+
?-5,Unknown,Other,TAB:B,NA,rectangular,NA,Poor,Y,002_before_820:pass,+555-233-002-820+
?-6,Unknown,Other,TAB:B,NA,rectangular,NA,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-702-061-002-817+
-:3896.1,Unknown,Other,SEAL:S,NA,square,Bull1:W,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-222-235-002-820+
M-1670,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:II,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-760-001-233-002-861+
M-1698,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-482-033-705-002-861-803+
H-1037,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Fair,N,740_before_002:pass,+740-904-032-002-000+
H-1048,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-032-840-235-002-817+
H-1076,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-611-706-002-820+
H-1079,Harappa,Inter-Riverine,SEAL:R,NA,rectangular-notched,NA,Fair,N,740_before_002:pass,+740-390-590-002-000[
M-1788,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Fair,N,002_before_817:pass,+000-220-032-002-817+
M-1878,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Gaur,Poor,N,740_before_820:pass,+740-000-031-000-820+
M-1894,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Zebu,Fair,Y,740_before_002:pass,+740-440-233-002-413-368-031+
M-1959,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,N,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-100-000-002-820+
M-1973,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-575-017-233-550-002-861+
M-1979,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Good,Y,740_before_820:pass,+740-923-013-820+
M-2012,Mohenjo-daro,Lower Indus,TAB:B,NA,circular,Bull1,Fair,Y,740_before_002:pass,+740-900-005-002-570+
M-2087,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,740_before_002:pass;740_before_861:pass;740_before_820:fail;002_before_861:pass;002_before_820:fail,+820-000-032-740-904-002-861+
M-2103,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,400_before_740:pass,+400-740-760-000-000+
H-1198,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,740_before_820:pass,+740-061-001-031-820+
-:4148.1,Rakhigarhi,Eastern Headwaters,SEAL:S,NA,NA,Bull1,Fair,N,740_before_002:pass,+740-690-435-255-002-267-000-033+
-:4154.1,Rakhigarhi,Eastern Headwaters,SEAL:S,Steatite,NA,Bull1,Fair,?,002_before_861:pass,]240-803-002-861+
-:4155.1,Gonur Depe,Central Asia,SEAL:S,Steatite,square,Elep,Good,Y,740_before_002:pass,+740-390-590-125-220-235-002-285+
-:4314.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,Bull1,Poor,N,002_before_820:pass,+520-000-002-820+
-:4182.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,NA,Bull1,Fair,Y,740_before_002:pass,+740-390-590-231-002-705-530-904+
-:4195.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,002_before_861:pass;002_before_820:fail,+820-390-590-002-861+
-:4197.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Good,N,002_before_817:pass,+001-000-000-832-904-002-817+
-:4209.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Gaur,Fair,Y,740_before_002:pass,+740-384-002-629-279+
-:4211.1,Dholavira,Gujarat/Kutch,SEAL,NA,NA,NA,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-235-002-817+
-:4226.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,400_before_740:pass,+400-740-920+
-:4229.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Fair,Y,740_before_820:pass,+740-390-590-220-463-240-001-820-060+
-:4252.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:V,Fair,N,740_before_002:pass,+740-760-175-002-000[
-:4270.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,?,806_before_002:pass,]806-002-808+
-:4272.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,002_before_861:pass,+405-016-002-861+
-:4277.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,Y,740_before_002:pass,+740-067-900-002-003+
-:4302.1,Dholavira,Gujarat/Kutch,TAB:B,Terracotta,cuboid-convex,Scene,Good,Y,740_before_002:pass,+740-519-002-900-630+
-:4345.1,Dholavira,Gujarat/Kutch,TAG,Clay,square,Bull1,Fair,N,002_before_861:pass,+000-705-002-861+
-:4348.1,Dholavira,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,740_before_002:pass;740_before_861:pass;002_before_861:pass,]740-142-000-002-861-390[
-:5216.1,Gola Dhoro (Bagasra),Gujarat/Kutch,SEAL:S,NA,square,Bull1:S,Poor,Y,740_before_820:pass,+090-740-100-415-240-820-033+
-:5235.1,Lakhanjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,740_before_002:pass,+740-032-029-002-281+
K-145,Kalibangan,Inter-Riverine,SEAL:S,NA,square,Bull1:J,Good,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-585-231-220-032-002-820+
K-155,Kalibangan,Inter-Riverine,TAG,Terracotta,NA,Bull1,Poor,N,002_before_817:pass,]002-817-000+
K-417,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,400_before_740:pass,]400-740-055+
K-419,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,N,740_before_002:pass,]740-912-002-000[
K-429,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,002_before_820:pass,]002-031-820[
K-431,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,002_before_820:pass,]000-000-406-002-820+
Ns-54,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-222-002-817+
Ns-57,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,002_before_861:fail;002_before_820:pass,+861-111-606-002-820+
Ns-60,Nausharo,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fine,Y,740_before_002:pass,+407-063-740-176-236-798-002-297-350-125-413+
Ns-63,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,400_before_740:pass,+795-400-740+
Ns-66,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Fair,N,400_before_740:pass;400_before_002:pass;740_before_002:pass,+033-999-400-090-740-100-000-002-892-000-002+
Ns-68,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,740_before_861:pass,+740-861+
-:5420.1,Kanmer,Gujarat/Kutch,TAG,Clay,circular,NA,Fair,N,002_before_820:pass,]000-049-002-820+
-:5464.1,Unknown,Other,SEAL:S,NA,square,Elep,Fair,N,002_before_817:pass,+000-840-140-002-817+
-:5541.1,Shikarpur,Gujarat/Kutch,POT:T:p,Clay,NA,NA,Fair,N,002_before_861:pass,+002-861-000[
-:5574.1,Unknown,Other,SEAL:S,NA,square,Bull:i:J,Fair,N,740_before_861:pass,+740-861-877-741-000+
-:5575.1,Unknown,Other,SEAL:S,NA,square,Bull:i:J,Fair,Y,002_before_861:pass,+136-002-861+
